item,itemLabel,date,deaths,country,countryLabel,latitude,longitude,coord
http://www.wikidata.org/entity/Q19574800,HMS Richmond helicopter crash,2002-06-12T00:00:00Z,2,,,35.0,-73.5,Point(-73.5 35.0)
http://www.wikidata.org/entity/Q19689973,Turkish Airlines Flight 726,2015-03-03T00:00:00Z,,,,27.69611111,85.35805556,Point(85.35805556 27.69611111)
http://www.wikidata.org/entity/Q19689973,Turkish Airlines Flight 726,2015-03-04T00:00:00Z,,,,27.69611111,85.35805556,Point(85.35805556 27.69611111)
http://www.wikidata.org/entity/Q19851732,China Xinjiang Airlines Flight 9501,1988-07-11T00:00:00Z,,,,29.66888889,115.99194444,Point(115.99194444 29.66888889)
http://www.wikidata.org/entity/Q19909685,Aeroflot Flight 637,1984-12-04T00:00:00Z,10,,,57.716666666667,41.133333333333,Point(41.133333333 57.716666666)
http://www.wikidata.org/entity/Q19909934,Aeroflot Flight 105,1958-06-09T00:00:00Z,,,,59.473611111111,150.88805555556,Point(150.888055555 59.473611111)
http://www.wikidata.org/entity/Q19910592,Q19910592,1990-02-01T00:00:00Z,,,,55.70056,24.51639,Point(24.51639 55.70056)
http://www.wikidata.org/entity/Q19911204,Aeroflot Flight 136,1954-10-28T00:00:00Z,,,,54.506944444444,94.686111111111,Point(94.686111111 54.506944444)
http://www.wikidata.org/entity/Q20007247,Skyway Enterprises Flight 7101,2014-10-29T00:00:00Z,2,,,18.03833333,-63.12722222,Point(-63.12722222 18.03833333)
http://www.wikidata.org/entity/Q20009566,Q20009566,1993-09-15T00:00:00Z,3,,,45.50527778,12.35194444,Point(12.35194444 45.50527778)
http://www.wikidata.org/entity/Q20010249,1948 Royal Air Force Avro Lancaster crash,1948-09-04T00:00:00Z,,,,42.32557778,10.30527778,Point(10.30527778 42.32557778)
http://www.wikidata.org/entity/Q20080729,Sierra Pacific Airlines Flight 802,1974-03-13T00:00:00Z,,,,37.3325,-118.36194444444,Point(-118.361944444 37.3325)
http://www.wikidata.org/entity/Q20743315,Capital Airlines Flight 300,1958-05-20T00:00:00Z,11,,,39.330555555556,-77.544166666667,Point(-77.544166666 39.330555555)
http://www.wikidata.org/entity/Q20828539,1997 Namibia mid-air collision,1997-09-13T00:00:00Z,33,,,-18.8,11.3,Point(11.3 -18.8)
http://www.wikidata.org/entity/Q20936223,ČSA Flight 523,1967-09-05T00:00:00Z,37,,,48.9429,-54.5373,Point(-54.5373 48.9429)
http://www.wikidata.org/entity/Q20986949,1956 Niles Canyon Douglas R5D-2 crash,1956-02-17T00:00:00Z,,,,37.623377777778,-121.94992222222,Point(-121.949922222 37.623377777)
http://www.wikidata.org/entity/Q20986954,Paradise Airlines Flight 901A,1964-03-01T00:00:00Z,85,,,39.0163,-119.8888,Point(-119.8888 39.0163)
http://www.wikidata.org/entity/Q21027655,Capitol International Airways Flight 3/26,1970-11-27T00:00:00Z,47,,,61.167888888889,-149.93683333333,Point(-149.936833333 61.167888888)
http://www.wikidata.org/entity/Q21235242,Q21235242,1960-07-31T00:00:00Z,1,,,44.01944444,12.60944444,Point(12.60944444 44.01944444)
